ISI0,sp+AF8-rati0g,mood1+AF8-rati0g,Curre0c1,Is+AF8-Emergi0g+AF8-Market,Se0iorit,Callable,Da1s+AF8-to+AF8-Settle,Collateral+AF8-T1pe,Coupo0+AF8-Freque0c1,Coupo0+AF8-T1pe,I0dustr1+AF8-Group,I0dustr1+AF8-Sector,I0dustr1+AF8-SubGroup,Issuer+AF8-0ame,Ticker,Country+AF8-Of+AF8-Domicile,Risk+AF8-Stripe
0,,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6
1,0,,0,0,0,0,2,0,0,0,1,1,1,1,1,0,11
2,1,0,1,0,1,1,3,1,1,1,2,2,2,2,2,1,11
3,,1,0,0,0,0,2,2,0,0,3,3,3,3,3,2,6
4,,,0,0,0,0,2,0,0,0,4,4,4,4,4,2,6
5,,,0,0,0,0,2,0,0,0,4,4,4,4,4,2,6
6,,1,0,0,0,0,2,2,0,0,3,3,3,3,3,2,6
7,2,2,0,0,1,1,2,1,2,1,5,2,5,5,5,2,3
8,1,,0,0,2,1,2,3,0,1,5,2,5,5,5,2,4
9,1,,0,0,2,1,2,3,0,1,5,2,5,5,5,2,4
10,,,0,0,0,0,2,0,0,0,4,4,4,4,4,2,6
11,3,3,2,0,0,0,2,2,0,0,6,4,6,6,6,2,9
12,,1,0,0,0,0,2,2,0,0,3,3,3,3,3,2,6
13,3,3,0,0,0,0,2,2,0,0,6,4,6,6,6,2,5
14,3,3,0,0,0,0,2,2,0,0,6,4,6,6,6,2,5
15,0,,3,0,1,1,2,1,1,1,2,2,7,7,7,2,10
16,3,3,2,0,0,0,2,2,0,0,6,4,6,6,6,2,9
17,3,3,0,0,0,0,2,2,0,0,6,4,6,6,6,2,5
18,0,,0,0,2,1,2,3,0,1,2,2,7,7,7,2,10
19,4,4,4,0,0,0,2,2,0,0,7,5,8,8,8,3,7
20,4,5,4,0,0,0,2,2,0,0,7,5,8,8,8,3,7
21,0,2,0,0,2,1,2,3,0,1,5,2,9,9,9,4,3
22,0,,3,0,2,0,2,3,0,0,5,2,9,9,9,4,3
23,2,,0,0,1,1,2,1,0,1,5,2,9,10,9,4,3
24,2,,3,0,1,1,2,1,0,1,5,2,9,10,9,4,3
25,2,,3,0,1,1,2,1,0,1,5,2,9,10,9,4,3
26,2,,3,0,1,1,2,1,0,1,5,2,9,10,9,4,3
27,,,0,0,1,1,2,1,0,2,8,2,10,11,10,5,3
28,5,6,0,0,1,1,2,1,0,3,5,2,11,12,11,6,11
29,6,7,0,0,1,1,2,1,0,1,5,2,9,13,12,6,11
30,7,8,0,0,1,1,2,1,0,0,5,2,9,14,13,7,3
31,8,9,0,0,0,0,2,2,0,0,9,1,12,15,14,8,5
32,2,,0,0,1,1,2,2,0,0,5,2,9,16,12,6,3
33,5,0,0,0,0,0,2,0,0,0,3,3,13,17,15,5,6
34,,,0,0,0,1,2,0,0,0,10,6,14,18,16,5,7
35,0,10,0,0,1,1,2,1,0,1,4,4,4,19,17,5,8
36,0,10,0,0,1,1,2,1,0,1,4,4,4,19,17,5,8
37,9,11,0,0,0,0,2,0,0,0,7,5,8,20,18,5,7
38,,,0,0,0,0,2,0,0,0,1,1,15,21,19,5,6
39,,,0,0,0,1,2,0,0,0,11,1,16,22,20,5,11
40,10,3,0,0,1,1,2,1,0,1,2,2,2,23,21,5,10
41,1,12,0,0,0,0,2,0,0,0,12,4,17,24,22,5,5
42,2,13,0,0,0,1,2,0,0,0,0,0,0,25,23,5,6
43,2,13,0,0,0,0,2,0,0,0,0,0,0,25,23,5,6
44,0,10,0,0,1,1,2,1,0,1,4,4,4,19,17,5,8
45,11,14,0,0,0,1,2,2,1,0,13,1,18,26,24,5,1
46,2,7,0,0,0,0,5,2,0,0,8,2,10,27,25,6,0
47,2,7,0,0,0,0,5,2,0,0,8,2,10,27,25,6,0
48,10,3,0,0,2,1,2,3,0,1,2,2,2,23,21,5,10
49,3,3,0,0,0,1,2,0,0,0,14,7,19,28,26,5,7
50,10,,0,0,1,1,2,1,0,1,8,2,10,29,27,5,8
51,1,12,0,0,0,0,2,2,0,0,12,4,17,30,22,8,5
52,8,15,0,0,0,0,2,2,0,0,2,2,2,31,21,8,4
53,10,1,2,0,0,0,2,2,0,0,15,1,20,32,28,8,9
54,10,3,0,0,2,1,2,2,0,1,2,2,2,31,21,8,10
55,8,15,0,0,0,0,2,2,0,0,2,2,2,31,21,8,4
56,12,,0,0,0,0,2,2,0,0,16,2,21,33,29,8,6
57,,,0,0,0,0,2,2,0,0,17,6,22,34,30,5,7
58,1,12,0,0,0,0,2,0,0,0,12,4,17,24,22,5,5
59,,,0,0,0,0,2,0,0,0,1,1,15,21,19,5,6
60,9,11,0,0,0,0,2,0,0,0,7,5,8,20,18,5,7
61,9,11,0,0,0,0,2,0,0,0,7,5,8,20,18,5,7
62,,,0,0,0,0,2,0,0,0,14,7,19,28,26,5,7
63,10,3,0,0,2,1,2,3,0,1,2,2,2,23,21,5,10
64,,,0,0,0,0,2,0,0,0,1,1,15,21,19,5,6
65,,,0,0,1,1,2,1,0,1,5,2,23,35,31,5,3
66,9,11,0,0,0,0,2,0,0,0,7,5,8,20,18,5,7
67,9,11,0,0,0,0,2,0,0,0,7,5,8,20,18,5,7
68,12,,0,0,0,0,2,2,0,0,16,2,21,33,29,8,6
69,,8,0,0,1,1,2,1,0,1,11,1,16,36,32,0,8
70,10,3,2,0,0,0,2,2,0,0,7,5,8,37,33,6,9
71,12,,0,0,0,0,2,2,0,0,16,2,21,33,29,8,6
72,12,,0,0,0,0,2,2,0,0,16,2,21,33,29,8,6
73,10,3,0,0,0,0,2,2,0,0,7,5,8,37,33,6,7
74,,,0,0,0,0,2,0,2,0,18,5,24,38,34,5,11
75,,,0,0,0,0,2,0,2,0,18,5,24,38,34,5,11
76,6,7,0,0,2,0,2,3,0,0,5,2,5,39,35,5,4
77,12,0,0,0,0,0,2,0,0,0,5,2,5,39,35,5,4
78,2,16,0,0,1,1,2,1,0,1,5,2,9,40,12,5,3
79,1,13,0,0,2,0,2,3,0,0,5,2,9,40,12,5,4
80,5,8,0,0,2,1,2,3,2,1,5,2,11,41,36,5,3
81,5,8,0,0,2,1,2,3,2,3,5,2,11,41,36,5,3
82,9,,0,0,0,0,2,0,0,0,2,2,2,42,37,5,4
83,13,2,0,0,2,1,2,3,0,1,5,2,5,43,38,9,2
84,2,13,0,0,2,0,2,3,0,0,5,2,5,44,39,9,2
85,14,5,0,0,2,1,2,3,0,1,5,2,5,45,40,9,2
86,,,0,0,0,0,2,0,0,0,8,2,25,46,41,9,2
87,0,10,0,0,0,0,2,0,0,0,5,2,5,47,42,9,2
88,12,0,2,0,0,0,2,0,0,0,17,6,22,48,43,1,9
89,6,7,0,0,1,1,2,1,0,1,5,2,9,49,44,1,11
90,6,13,0,0,1,1,2,1,0,0,5,2,9,50,45,1,3
91,6,13,3,0,1,1,2,1,0,0,5,2,9,50,45,1,3
92,0,0,0,0,0,0,2,0,0,0,19,3,26,51,46,1,6
93,6,7,3,0,1,1,2,1,2,0,5,2,5,52,47,1,3
94,6,7,0,0,1,1,2,1,0,1,5,2,5,52,47,1,3
95,6,7,2,0,1,1,2,1,0,1,5,2,9,53,48,1,10
96,5,11,0,0,1,1,2,1,2,1,8,2,10,54,49,1,3
97,9,,0,0,0,0,2,0,0,0,20,4,27,55,50,1,6
98,1,,0,0,1,1,2,1,0,1,2,2,7,56,51,1,10
99,12,,0,0,1,1,2,1,0,1,2,2,2,57,52,1,10
100,6,13,3,0,1,1,2,1,2,0,5,2,9,50,45,1,3
101,9,0,0,0,0,0,2,0,0,0,20,4,27,58,50,1,6
102,6,13,0,0,1,1,2,1,0,1,5,2,9,50,45,1,3
103,,11,0,0,0,0,2,0,0,0,19,3,26,59,53,1,6
104,,7,0,0,1,1,2,1,0,1,5,2,5,52,47,1,3
105,6,7,3,0,1,1,2,1,0,0,5,2,5,52,47,1,3
106,4,,0,0,0,0,2,0,0,0,21,1,28,60,54,1,6
107,6,7,0,0,1,1,2,1,0,1,5,2,9,53,48,1,3
108,4,,0,0,0,0,2,0,0,0,21,1,28,60,54,1,6
109,9,0,0,0,0,0,2,0,0,0,20,4,27,61,50,1,6
110,10,1,0,0,0,0,2,0,0,0,3,3,29,62,55,1,6
111,,11,0,0,0,0,2,0,0,0,19,3,26,59,53,1,6
112,4,,0,0,0,0,2,0,0,0,21,1,28,60,54,1,6
113,3,1,0,0,0,0,2,0,0,0,3,3,13,63,56,1,6
114,12,,0,0,2,1,2,3,0,1,2,2,2,57,52,1,10
115,,11,0,0,0,0,2,0,0,0,19,3,26,59,53,1,6
116,6,,0,0,0,0,2,0,0,0,22,1,30,64,57,1,6
117,1,,0,0,0,0,2,0,0,0,12,4,17,65,58,1,5
118,0,,0,0,0,0,2,0,0,0,23,2,31,66,59,1,6
119,0,,0,0,0,0,2,0,0,0,24,5,32,67,60,1,5
120,,,0,0,0,0,2,0,0,0,24,5,32,68,61,1,5
121,3,1,0,0,0,0,2,0,0,0,3,3,13,63,56,1,6
122,3,1,0,0,0,0,2,0,0,0,3,3,13,63,56,1,6
123,1,,0,0,0,0,2,0,0,0,25,5,33,69,62,1,5
124,6,,0,0,0,0,2,0,0,0,22,1,30,64,57,1,6
125,,,0,0,0,0,2,2,0,0,18,5,24,70,63,1,5
126,9,0,0,0,0,0,5,0,0,0,20,4,27,61,50,1,6
127,0,0,2,0,1,1,2,1,1,1,3,3,29,62,55,1,8
128,0,0,0,0,1,1,2,1,0,1,3,3,29,62,55,1,8
129,2,16,0,0,0,1,2,2,0,0,26,4,34,71,64,1,1
130,4,16,0,0,0,0,2,0,0,0,7,5,8,72,65,1,7
131,1,,0,0,0,0,2,0,0,0,25,5,33,69,62,1,5
132,9,,0,0,0,0,2,0,0,0,12,4,17,73,66,1,5
133,10,,0,0,0,0,2,0,0,0,27,5,35,74,67,1,5
134,12,11,2,0,1,1,2,1,0,1,3,3,13,63,56,1,8
135,0,2,0,0,2,0,2,3,0,0,5,2,5,52,47,1,4
136,4,,0,0,0,0,2,0,0,0,21,1,28,60,54,1,6
137,4,16,0,0,0,0,2,0,0,0,7,5,8,72,65,1,7
138,12,,0,0,0,0,2,0,0,0,23,2,36,75,68,1,6
139,,11,0,0,0,0,2,0,0,0,19,3,26,59,53,1,6
140,2,,0,0,1,1,2,1,0,1,12,4,17,65,58,1,8
141,8,1,0,0,0,1,2,0,0,0,4,4,4,76,69,1,6
142,9,0,0,0,0,1,2,0,0,0,20,4,27,61,50,1,6
143,0,0,0,0,1,1,2,1,0,1,3,3,29,62,55,1,8
144,0,0,2,0,1,1,2,1,1,1,3,3,29,62,55,1,8
145,1,,0,0,0,0,2,0,0,0,25,5,33,69,62,1,5
146,1,,0,0,0,1,2,0,0,0,12,4,17,65,58,1,5
147,1,13,0,0,0,0,2,0,0,0,7,5,8,77,70,1,7
148,4,,0,0,0,1,2,0,0,0,21,1,28,60,54,1,6
149,,0,0,0,2,0,2,2,0,0,2,2,37,78,71,1,10
150,0,17,2,0,2,0,2,3,0,0,5,2,5,52,47,1,10
151,,,0,0,2,1,2,3,0,1,2,2,2,79,72,1,10
152,,,0,0,0,0,2,0,0,0,18,5,24,70,63,1,5
153,,10,0,0,3,1,2,4,0,1,19,3,26,59,53,1,8
154,0,17,0,0,2,1,2,3,0,1,5,2,5,52,47,1,4
155,1,,0,0,0,1,2,0,0,0,12,4,17,65,58,1,5
156,0,,0,0,0,1,2,0,0,0,23,2,31,80,73,1,6
157,0,0,0,0,0,0,2,0,0,0,7,5,8,81,70,1,7
158,10,,0,0,0,1,2,0,0,0,27,5,35,74,67,1,5
159,1,17,0,0,0,1,2,0,0,0,6,4,38,82,74,1,5
160,6,,0,0,0,0,2,0,0,0,22,1,30,64,57,1,6
161,0,,0,0,0,0,2,0,0,0,24,5,32,67,60,1,5
162,1,,0,0,0,1,2,0,0,0,28,8,39,83,75,1,0
163,10,,0,0,0,1,2,0,0,0,1,1,40,84,76,1,5
164,1,,0,0,2,1,2,3,0,1,2,2,7,85,48,1,10
165,6,13,0,0,1,1,2,1,0,1,29,0,41,86,77,1,8
166,12,,0,0,2,1,2,3,0,1,2,2,2,57,52,1,10
167,1,,0,0,2,1,2,3,0,1,2,2,2,87,45,1,10
168,0,,0,0,0,1,2,0,0,0,23,2,31,88,78,1,6
169,0,,0,0,2,1,2,3,0,1,2,2,7,89,79,1,10
170,9,0,0,0,0,1,2,0,0,0,12,4,42,90,80,1,5
171,1,,0,0,2,1,2,3,0,1,2,2,7,85,48,1,10
172,0,0,0,0,0,0,2,0,0,0,7,5,8,81,70,1,7
173,0,,0,0,0,1,2,0,0,0,20,4,43,91,81,1,5
174,,10,0,0,1,1,2,1,0,1,19,3,26,59,53,1,8
175,,,0,0,1,1,2,1,0,1,18,5,24,70,63,1,8
176,0,0,0,0,0,1,2,0,0,0,19,3,26,51,46,1,6
177,9,,0,0,0,1,2,0,0,0,23,2,31,92,82,1,6
178,0,0,0,0,0,0,2,0,0,0,7,5,8,81,70,1,7
179,10,,0,0,0,1,2,0,0,0,1,1,40,84,76,1,5
180,,11,0,0,0,1,2,0,0,0,30,1,44,93,83,1,6
181,12,,0,0,0,1,2,0,0,0,23,2,36,75,68,1,6
182,1,17,3,0,1,1,2,1,2,3,5,2,45,94,84,7,3
183,12,11,3,0,1,1,2,1,1,3,5,2,5,95,85,7,3
184,12,11,3,0,1,1,2,1,1,3,5,2,5,95,85,7,3
185,12,11,3,0,2,1,2,3,1,3,5,2,5,96,86,10,3
186,,0,2,0,1,1,2,1,2,3,5,2,5,97,87,7,3
187,,,3,0,1,1,2,1,1,3,5,2,5,98,88,11,3
188,,10,3,0,1,1,2,1,1,3,5,2,5,99,88,11,3
189,2,17,0,0,1,1,2,1,2,1,5,2,5,100,89,8,11
190,2,17,0,0,1,1,2,1,2,1,5,2,5,100,89,8,11
191,0,0,0,0,1,1,2,1,2,3,2,2,2,101,90,8,11
192,0,0,3,0,1,1,2,1,2,3,2,2,2,101,90,8,11
193,,0,5,0,2,1,2,3,0,1,2,2,2,101,90,8,11
194,0,0,0,0,1,1,2,1,0,0,2,2,2,101,90,8,10
195,1,17,2,0,0,0,2,0,0,0,9,1,46,102,91,8,5
196,5,5,0,0,0,0,2,0,0,0,5,2,5,103,92,12,2
197,5,4,0,0,2,1,2,3,0,2,5,2,5,104,93,12,2
198,5,5,0,0,0,0,2,0,0,0,5,2,5,103,92,12,2
199,6,7,3,0,2,0,3,3,1,0,5,2,45,105,13,8,3
200,6,7,3,0,2,0,3,2,1,0,5,2,45,106,13,8,3
201,1,17,3,0,2,0,3,3,1,0,5,2,45,107,94,8,3
202,3,3,3,0,0,0,3,0,1,0,5,2,45,107,94,8,4
203,3,3,3,0,0,0,3,2,1,0,5,2,5,108,95,7,4
204,3,3,3,0,0,0,3,2,1,0,5,2,5,108,95,7,4
205,3,3,3,0,0,0,3,2,1,0,5,2,5,108,95,7,4
206,1,17,3,0,2,0,3,3,1,0,5,2,5,109,95,7,3
207,2,13,3,0,1,1,3,2,1,1,5,2,23,110,95,6,3
208,15,9,3,0,0,0,3,0,1,0,31,7,47,111,96,6,7
209,15,9,3,0,0,0,3,0,1,0,31,7,47,111,96,6,7
210,15,9,3,0,0,0,3,0,1,0,31,7,47,111,96,6,7
211,16,18,3,0,0,0,3,0,1,0,5,2,5,112,97,10,4
212,16,18,3,0,0,0,3,0,1,0,5,2,5,112,97,10,4
213,16,18,3,0,0,0,3,0,1,0,5,2,5,113,97,6,4
214,7,16,3,0,1,1,3,2,1,1,5,2,45,114,98,9,2
215,6,13,3,0,1,1,3,1,1,1,5,2,9,50,45,1,3
216,10,1,3,0,0,0,3,2,1,0,5,2,9,50,45,1,4
217,10,1,3,0,0,0,3,2,1,0,5,2,9,50,45,1,4
218,3,3,3,0,0,0,3,2,1,0,5,2,5,52,47,1,4
219,0,17,3,0,2,0,3,3,1,0,5,2,5,52,47,1,3
220,0,17,3,0,2,0,3,3,1,0,5,2,5,52,47,1,3
221,0,17,3,0,2,0,3,3,1,0,5,2,5,52,47,1,3
222,0,10,3,0,2,0,3,2,1,0,5,2,9,50,45,1,3
223,9,0,3,0,0,0,3,0,1,0,5,2,9,115,99,6,2
224,2,7,3,0,1,1,3,1,1,1,5,2,5,116,100,7,3
225,7,2,3,0,1,1,3,1,2,1,5,2,9,117,100,7,3
226,7,2,3,0,1,1,3,1,2,1,5,2,9,117,100,7,3
227,6,17,3,0,2,0,3,3,1,0,5,2,9,117,100,7,3
228,0,17,3,0,0,0,3,0,1,0,5,2,9,117,100,7,4
229,0,17,3,0,0,0,3,0,1,0,5,2,9,117,100,7,4
230,0,17,3,0,0,0,3,0,1,0,5,2,9,117,100,7,4
231,0,17,3,0,0,0,3,0,1,0,5,2,9,117,100,7,4
232,9,3,3,0,0,0,3,0,1,0,5,2,5,116,100,7,4
233,6,2,3,0,2,1,3,3,1,1,5,2,5,116,100,7,3
234,1,17,3,0,2,0,3,3,1,0,5,2,5,116,100,7,3
235,6,2,3,0,2,0,3,3,1,0,5,2,5,116,100,7,3
236,12,17,3,0,2,0,3,3,1,0,5,2,9,118,101,6,11
237,6,7,3,0,2,0,3,3,1,0,5,2,5,39,35,5,3
238,6,7,3,0,2,0,3,3,1,0,5,2,5,39,35,5,3
239,16,18,3,0,0,0,3,0,1,0,5,2,5,119,102,6,4
240,12,11,3,0,2,0,3,2,1,0,5,2,5,120,103,8,3
241,12,11,3,0,2,0,3,2,1,0,5,2,5,120,103,8,3
242,12,11,3,0,2,0,3,5,1,0,5,2,5,120,103,8,3
243,12,11,3,0,2,0,3,5,1,0,5,2,5,120,103,8,3
244,10,18,3,0,0,0,3,2,1,0,5,2,5,121,103,8,4
245,10,18,3,0,0,0,3,2,1,0,5,2,5,120,103,8,4
246,12,11,3,0,2,0,3,2,1,0,5,2,5,120,103,8,3
247,6,7,3,0,1,1,3,1,1,1,5,2,9,53,48,1,3
248,2,2,3,0,1,1,3,1,2,1,5,2,9,53,48,1,3
249,3,3,3,0,0,0,3,0,1,0,5,2,9,122,48,7,4
250,3,1,3,0,0,0,3,0,1,0,5,2,48,123,104,6,4
251,0,10,3,0,2,0,3,3,1,0,5,2,48,123,104,6,3
252,3,1,3,0,0,0,3,0,1,0,5,2,48,123,104,6,4
253,3,1,3,0,0,0,3,0,1,0,5,2,5,123,104,6,4
254,1,13,3,0,2,1,3,3,1,1,5,2,9,40,12,5,3
255,1,13,3,0,2,0,3,3,1,0,5,2,9,40,12,5,3
256,12,11,3,0,0,0,3,0,1,0,5,2,9,40,12,5,4
257,12,11,3,0,0,0,3,0,1,0,5,2,9,124,12,7,4
258,12,11,3,0,0,0,3,0,1,0,5,2,9,124,12,7,4
259,12,,3,0,0,0,3,2,1,0,16,2,21,125,29,8,6
260,4,16,3,0,1,1,3,1,1,0,5,2,45,126,35,6,3
261,10,1,3,0,0,0,3,0,1,0,3,3,29,62,55,1,6
262,0,0,3,0,1,1,3,1,1,1,3,3,29,62,55,1,8
263,6,17,3,0,0,0,3,0,1,0,3,3,13,127,105,8,6
264,6,17,3,0,0,0,3,0,1,0,3,3,13,127,105,8,6
265,6,17,3,0,0,0,3,0,1,0,3,3,13,127,105,8,6
266,9,11,3,0,0,0,3,0,1,0,32,9,49,128,106,13,6
267,9,11,3,0,0,0,3,0,1,0,32,9,49,128,106,13,6
268,12,0,3,0,0,0,3,2,1,0,3,3,13,129,107,8,6
269,6,13,3,0,2,1,3,3,1,1,3,3,13,130,108,13,8
270,0,10,3,0,0,0,3,2,1,0,3,3,13,131,108,8,6
271,12,0,3,0,0,0,3,0,1,0,17,6,50,132,109,14,7
272,4,5,3,0,0,0,3,0,1,0,7,5,8,133,8,7,7
273,4,5,3,0,0,0,3,0,1,0,7,5,8,133,8,7,7
274,12,0,3,0,0,0,3,0,1,0,17,6,22,48,43,1,7
275,12,0,3,0,0,0,3,0,1,0,17,6,22,48,43,1,7
276,8,3,3,0,2,0,3,2,1,0,8,2,51,134,110,6,4
277,10,3,3,0,2,1,3,2,1,1,8,2,51,134,110,6,4
278,15,1,3,0,0,0,3,2,1,0,8,2,51,134,110,6,4
279,0,10,3,0,0,0,3,2,1,0,0,0,0,135,111,6,6
280,0,10,3,0,0,0,3,2,1,0,0,0,0,135,111,6,6
281,0,10,3,0,0,0,3,2,1,0,0,0,0,135,111,6,6
282,9,11,3,0,0,0,3,0,2,3,5,2,9,136,112,6,2
283,12,10,3,0,2,0,3,3,1,0,5,2,9,136,112,6,2
284,12,10,3,0,2,0,3,3,1,0,5,2,9,136,112,6,2
285,9,11,3,0,0,0,3,0,1,0,5,2,9,136,112,6,2
286,2,13,3,0,1,1,3,6,2,1,5,2,9,137,112,6,2
287,9,11,3,0,0,0,3,0,1,0,5,2,9,136,112,6,2
288,1,10,3,0,2,0,3,3,1,0,5,2,5,138,84,7,3
289,1,10,3,0,2,0,3,3,1,0,5,2,5,138,84,7,3
290,12,3,3,0,2,0,3,3,1,0,5,2,9,139,85,7,3
291,3,1,3,0,0,0,3,0,1,0,5,2,9,139,85,7,4
292,3,1,3,0,0,0,3,0,1,0,5,2,9,139,85,7,4
293,3,1,3,0,0,0,3,0,1,0,5,2,9,139,85,7,4
294,12,3,3,0,2,0,3,3,1,0,5,2,9,139,85,7,3
295,,17,3,0,1,1,3,1,1,1,5,2,9,139,85,7,3
296,,17,3,0,1,1,3,1,1,1,5,2,9,139,85,7,3
297,,17,3,0,1,1,3,1,1,1,5,2,9,139,85,7,3
298,12,3,3,0,2,0,3,3,1,0,5,2,9,139,85,7,3
299,3,3,3,0,0,0,3,0,1,0,5,2,48,140,85,6,2
300,1,17,3,0,1,1,3,2,1,1,8,2,52,141,85,6,3
301,0,10,3,0,0,0,3,2,1,0,11,1,53,142,113,3,6
302,16,18,3,0,0,0,3,0,1,0,5,2,5,95,85,7,4
303,2,13,3,0,1,1,3,2,2,1,2,2,2,143,89,6,3
304,3,1,3,0,0,0,3,0,1,0,5,2,5,144,89,8,4
305,3,1,3,0,0,0,3,0,1,0,5,2,5,144,89,8,4
306,2,17,3,0,1,1,3,1,1,1,5,2,5,100,89,8,3
307,4,13,3,0,1,1,3,1,1,1,5,2,5,100,89,8,3
